,Unnamed: 0,Unnamed: 0.1,Title,Document,EPA Comment Letter Date,Federal Register Date,Agency,State,name,normalized_agency,new_name,normalized,new_Agency
0,0,0,10 Salmon and Steelhead Hatchery Programs in the Duwamish-Green River Basin,Draft Supplement,0,12/7/18,National Marine Fisheries Service,WA,EisDocuments-263194,NMFS,EisDocuments-263194,nmfs,National Marine Fisheries Service
1,1,1,1800 North (SR-37) Project,Final,0,1/15/16,Federal Highway Administration,UT,EisDocuments-185476;CommentLetters-185476,FHA,EisDocuments-185476,fha,Federal Highway Administration
2,2,2,1800 North (SR-37) Transportation Improvement,Draft,12/8/14,10/24/14,Federal Highway Administration,UT,EisDocuments-88431;CommentLetters-88431,FHA,EisDocuments-88431,fha,Federal Highway Administration
3,3,3,2016-2020 Fernow Experimental Forest,Final,0,1/22/16,Forest Service,WV,EisDocuments-186104;CommentLetters-186104,FS,EisDocuments-186104,fs,Forest Service
4,4,4,2018 Master Plan for the Consolidation of the U.S FDA HQ Final Environmental Impact Statement,Final,10/15/18,9/14/18,General Services Administration,MD,EisDocuments-257243;CommentLetters-257243,GSA,EisDocuments-257243,gsa,General Services Administration
5,5,5,75th Street Corridor Improvement Project,Draft,5/22/14,3/28/14,Federal Highway Administration,IL,EisDocuments-88105;CommentLetters-88105,FHA,EisDocuments-88105,fha,Federal Highway Administration
6,6,6,75th Street Corridor Improvement Project,Final,11/10/14,10/10/14,Federal Highway Administration,IL,EisDocuments-88380;CommentLetters-88380,FHA,EisDocuments-88380,fha,Federal Highway Administration
7,7,7,ADOPTION - Calcasieu Pass Project,Final,0,11/9/18,Department of Energy,LA,EisDocuments-260927,DoE,EisDocuments-260927,doe,Department of Energy
8,8,8,ADOPTION - California High-Speed Train: Merced to Fresno Section,Final,4/18/13,4/19/13,Surface Transportation Board,CA,EisDocuments-87758,STB,EisDocuments-87758,stb,Surface Transportation Board
9,9,9,ADOPTION - Cape Wind Energy Project Nantucket Sound Offshore of Massachusetts DOE/EIS-0470 Barnstable Nantucket and Duke Counties MA and Washington County RI,Final,1/29/13,12/31/12,Department of Energy,MA,EisDocuments-76963;CommentLetters-76963,DoE,EisDocuments-76963,doe,Department of Energy
10,10,10,ADOPTION - Central Everglades Planning Program,Final,12/19/16,12/2/16,National Park Service,FL,EisDocuments-222537;CommentLetters-222537,NPS,EisDocuments-222537,nps,National Park Service
11,11,11,"ADOPTION - Charleston Naval Complex (CNC) Proposed Construction of a Marine Container Terminal Cooper River in Charleston Harbor, City of North Charleston, Charleston County, SC",Final,0,6/29/18,Department of Homeland Security,SC,EisDocuments-252072;CommentLetters-252072,DoHS,EisDocuments-252072,dohs,Department of Homeland Security
12,12,12,ADOPTION - Delfin LNG Deepwater Port,Final,0,4/28/17,Department of Energy,Other,EisDocuments-231435,DoE,EisDocuments-231435,doe,Department of Energy
13,13,13,ADOPTION - Department of Homeland Security Headquarters Consolidation at St. Elizabeths Master Plan Amendment - East Campus North Parcel St. Elizabeths Campus in Southeast Washington DC,Final,0,4/8/16,Department of Homeland Security,DC,EisDocuments-206252,DoHS,EisDocuments-206252,dohs,Department of Homeland Security
14,14,14,ADOPTION - Department of Homeland Security Headquarters at the St. Elizabeths West Campus to Consolidate Federal Office Space on a Secure Site,Final,0,4/8/16,Department of Homeland Security,DC,EisDocuments-206230,DoHS,EisDocuments-206230,dohs,Department of Homeland Security
15,15,15,ADOPTION - Garrows Bend Intermodal Rail portion of the Choctaw Point Terminal Project,Final,8/19/13,5/3/13,Maritime Administration,AL,EisDocuments-88331;CommentLetters-88331,MA,EisDocuments-88331,ma,Maritime Administration
16,16,16,ADOPTION - Golden Pass LNG Export Project,Final,0,1/27/17,Department of Energy,Multi,EisDocuments-227491,DoE,EisDocuments-227491,doe,Department of Energy
17,17,17,ADOPTION - Gulf of Mexico OCS Oil and Gas 2017-2022 Final Multisale EIS,Final,0,9/22/17,Environmental Protection Agency,Other,EisDocuments-239250,EPA,EisDocuments-239250,epa,Environmental Protection Agency
18,18,18,ADOPTION - Jordan Cove Energy and Pacific Connector Gas Pipeline Project,Final,0,11/20/15,Bureau of Land Management,OR,EisDocuments-180030,BoLM,EisDocuments-180030,bolm,Bureau of Land Management
19,19,19,ADOPTION - Jordan Cove Energy and Pacific Connector Gas Pipeline Project,Final,0,11/20/15,Forest Service,OR,EisDocuments-183246,FS,EisDocuments-183246,fs,Forest Service
20,20,20,ADOPTION - Lake Charles Liquefaction Project,Final,0,7/15/16,Department of Energy,LA,EisDocuments-211840,DoE,EisDocuments-211840,doe,Department of Energy
21,21,21,ADOPTION - Magnolia LNG and Lake Charles Expansion Projects,Final,0,9/30/16,Department of Energy,LA,EisDocuments-218016,DoE,EisDocuments-218016,doe,Department of Energy
22,22,22,ADOPTION - Military Readiness Activities at Naval Weapons System Training Facility Boardman,Final,0,10/14/16,Federal Aviation Administration,OR,EisDocuments-219075,FAA,EisDocuments-219075,faa,Federal Aviation Administration
23,23,23,ADOPTION - PROGRAMMATIC - Constellation Program Develop the Flight Systems and Earth-based Ground Infrastructure for Future Missions International Space Station The Moon Mars and Beyond Brevard and Volusia Counties FL; Hancock County Ms; Orlean Parish LA; Harris County TX; Madison County AL; Cuyahoga and Erie Counties OH; Hampton VA; Santa Clara County CA; Dona Ana and Otero Counties NM; and Box Elder and Davis Counties UT,Final,0,11/30/12,Federal Aviation Administration,0,EisDocuments-77717,FAA,EisDocuments-77717,faa,Federal Aviation Administration
24,24,24,ADOPTION - Plains and Eastern Clean Line Transmission Line Project,Final,0,9/22/17,U.S. Army Corps of Engineers,Multi,EisDocuments-239194,UACoE,EisDocuments-239194,uacoe,US Army Corps of Engineers
25,25,25,ADOPTION - Potomac Yard Metrorail Station,Final,0,12/9/16,National Park Service,VA,EisDocuments-223436,NPS,EisDocuments-223436,nps,National Park Service
26,26,26,ADOPTION - Production of Tritium in a Commercial Light Water Reactor,Final Supplement,0,3/4/16,Tennessee Valley Authority,TN,EisDocuments-204624,TVA,EisDocuments-204624,tva,Tennessee Valley Authority
27,27,27,ADOPTION - Proposed Land use Plan Amendment for the Boardman to Hemingway Transmission Line Project,Final,0,6/30/17,Forest Service,OR,EisDocuments-235132,FS,EisDocuments-235132,fs,Forest Service
28,28,28,"ADOPTION - Pure Water San Diego Program, North City Project",Final,0,6/15/18,Environmental Protection Agency,CA,EisDocuments-253421,EPA,EisDocuments-253421,epa,Environmental Protection Agency
29,29,29,ADOPTION - South Mountain Freeway (Loop 202),Final,0,11/24/17,U.S. Army Corps of Engineers,AZ,EisDocuments-242141,UACoE,EisDocuments-242141,uacoe,US Army Corps of Engineers
30,30,30,ADOPTION - Southern Flow Corridor Project,Adoption,0,12/18/15,National Oceanic and Atmospheric Administration,OR,EisDocuments-184785,NOaAA,EisDocuments-184785,noaaa,National Oceanic and Atmospheric Administration
31,31,31,ADOPTION - TransWest Express Transmission Project,Draft,0,12/6/13,Forest Service,UT,EisDocuments-88297,FS,EisDocuments-88297,fs,Forest Service
32,32,32,ADOPTION-Wilton Rancheria,Final,9/14/18,9/14/18,National Indian Gaming Commission,CA,EisDocuments-257386,NIGC,EisDocuments-257386,nigc,National Indian Gaming Commission
33,33,33,AP Loblolly Pine Removal and Restoration Project,Final,7/1/13,5/31/13,Forest Service,SC,EisDocuments-88144;CommentLetters-88144,FS,EisDocuments-88144,fs,Forest Service
34,34,34,AP Loblolly Pine Removal and Restoration Project Andrew Pickens Ranger District Sumter National Forest Oconee County SC,Draft,2/13/13,12/31/12,Forest Service,SC,EisDocuments-86816;CommentLetters-86816,FS,EisDocuments-86816,fs,Forest Service
35,35,35,APS Sun Valley to Morgan 500/230kV Transmission Line Project Proposed Resource Management Plan Amendment,Final,8/9/13,7/19/13,Bureau of Land Management,AZ,EisDocuments-89063;CommentLetters-89063,BoLM,EisDocuments-89063,bolm,Bureau of Land Management
36,36,36,Acadia National Park Draft Transportation Plan and Environmental Impact Statement,Draft,6/21/18,4/27/18,National Park Service,ME,EisDocuments-248343;CommentLetters-248343,NPS,EisDocuments-248343,nps,National Park Service
37,37,37,"Adams and Denver Counties, Colorado General Investigation Study",Draft,8/28/18,7/13/18,U.S. Army Corps of Engineers,CO,EisDocuments-253253;CommentLetters-253253,UACoE,EisDocuments-253253,uacoe,US Army Corps of Engineers
38,38,38,Addendum to the Final Areawide EIS on Phosphate Mining in the Central Florida Phosphate District,Revised Final,8/9/13,7/12/13,U.S. Army Corps of Engineers,FL,EisDocuments-87864;CommentLetters-87864,UACoE,EisDocuments-87864,uacoe,US Army Corps of Engineers
39,39,39,"Address the Presence of Wolves, Isle Royale National Park",Draft,2/24/17,12/16/16,National Park Service,MI,EisDocuments-223828;CommentLetters-223828,NPS,EisDocuments-223828,nps,National Park Service
40,40,40,Adjustments to the Annual Catch Limit and Accountability Measures for Royal Red Shrimp,Draft Supplement,9/30/14,8/22/14,National Marine Fisheries Service,FL,EisDocuments-88065;CommentLetters-88065,NMFS,EisDocuments-88065,nmfs,National Marine Fisheries Service
41,41,41,Aguirre Offshore GasPort Project,Draft,9/26/14,8/15/14,Federal Energy Regulatory Commission,PR,EisDocuments-88017;CommentLetters-88017,FERC,EisDocuments-88017,ferc,Federal Energy Regulatory Commission
42,42,42,Aguirre Offshore GasPort Project,Final,3/25/15,2/27/15,Federal Energy Regulatory Commission,PR,EisDocuments-89259;CommentLetters-89259,FERC,EisDocuments-89259,ferc,Federal Energy Regulatory Commission
