ID,ProjectTitle,Agency,Office,Date,Keywords,Status,DocumentTitle,DocumentType,Path
EIS-0001,"Strategic Petroleum Reserve, Bryan Mound Salt Dome, Brazoria County, Texas",DOE,FE,1977,Petroleum Reserves,Completed,EIS-0001: Final Environmental Impact Statement,EIS,DOE_EIS_001/EIS-0001-FEIS-1977.pdf
EIS-0002,"Allocation of Petroleum Feedstock, Baltimore Gas & Electric Co., Sollers Point SNG Plant, Sollers Point, Baltimore County, MD",DOE,ERA,1978,Petroleum Reserves,Completed,EIS-0002: Final Environmental Impact Statement,EIS,DOE_EIS_002/EIS-0002-FEIS-1978.pdf
EIS-0003,"Proton-Proton Storage Accelerator Facility (Isabelle), Brookhaven National Laboratory, Upton, NY",DOE,NNSA,1978,Uncategorized,Completed,EIS-0003: Final Environmental Impact Statement,EIS,DOE_EIS_003/EIS-0003-FEIS-1978.pdf
EIS-0004,Coal Loan Guarantee Program (P.L. 94-163),DOE,FE,1978,Coal,Completed,EIS-0004: Final Environmental Impact Statement,EIS,DOE_EIS_004/EIS-0004-FEIS-1978_0.pdf
EIS-0005,Bonneville Power Administration FY 1979 Program,DOE,BPA,1978,Electric Transmission,Completed,EIS-0005-FS: Final Supplemental Environmental Impact Statement,EIS,DOE_EIS_005/EIS-0005-FS-1980.pdf
EIS-0005,Bonneville Power Administration FY 1979 Program,DOE,BPA,1978,Electric Transmission,Completed,EIS-0005-FS: Draft Supplemental Environmental Impact Statement,EIS,DOE_EIS_005/EIS-0005-DS-1978.pdf
EIS-0005,Bonneville Power Administration FY 1979 Program,DOE,BPA,1978,Electric Transmission,Completed,EIS-0005-FS-2: Final Environmental Impact Statement,EIS,DOE_EIS_005/EIS-0005-FS-2_F-reduced-OCR.pdf
EIS-0005,Bonneville Power Administration FY 1979 Program,DOE,BPA,1978,Electric Transmission,Completed,EIS-0005: Final Environmental Impact Statement,EIS,DOE_EIS_005/EIS-0005-FEIS-1978.pdf
EIS-0005-FS,"Bonneville Power Administration Proposed FY 1979 Program, Facility Location on Supplement, Southwest Oregon Area Service, Buckley-Summer Lake 500 kV Line, Supplemental",DOE,BPA,1980,Electric Transmission,Completed,EIS-0005-FS: Final Supplemental Environmental Impact Statement,EIS,DOE_EIS_006/EIS-0005-FS-1980.pdf
EIS-0005-FS,"Bonneville Power Administration Proposed FY 1979 Program, Facility Location on Supplement, Southwest Oregon Area Service, Buckley-Summer Lake 500 kV Line, Supplemental",DOE,BPA,1980,Electric Transmission,Completed,EIS-0005-FS: Draft Supplemental Environmental Impact Statement,EIS,DOE_EIS_006/EIS-0005-DS-1978.pdf
EIS-0005-S2,"Bonneville Power Administration Proposed FY 1979 Program Facility Planning Supplement Southwest Oregon Area Service, Supplemental",DOE,BPA,1979,Electric Transmission,Completed,EIS-0005-FS-2: Final Environmental Impact Statement,EIS,DOE_EIS_007/EIS-0005-FS-2_F-reduced-OCR.pdf
EIS-0006,"Wind Turbine Generator System, Block Island, Rhode Island",DOE,EERE,1978,Wind,Completed,EIS-0006: Final Environmental Impact Statement,EIS,DOE_EIS_008/EIS-0006-FEIS-1978.pdf
EIS-0007,Low Btu Coal Gasification Facility and Industrial Park,DOE,FE,,Coal,Canceled,EIS-0007: Draft Environmental Impact Statement,EIS,DOE_EIS_009/EIS-0007-DEIS.pdf
EIS-0008,"Dickey-Lincoln School Lakes Transmission Project, Maine, New Hampshire, and Vermont",DOE,BPA,1978,Electric Transmission,Completed,EIS-0008-S: Final Supplemental Environmental Impact Statement,EIS,DOE_EIS_010/EIS-0008-S.pdf
EIS-0008,"Dickey-Lincoln School Lakes Transmission Project, Maine, New Hampshire, and Vermont",DOE,BPA,1978,Electric Transmission,Completed,EIS-0008: Final Environmental Impact Statement,EIS,DOE_EIS_010/EIS-0008-FEIS-1978.pdf
EIS-0008-S,"Supplement, Dickey-Lincoln School Lakes Transmission Project, Maine, New Hampshire, and Vermont",DOE,BPA,1981,Electric Transmission,Completed,EIS-0008-S: Final Supplemental Environmental Impact Statement,EIS,DOE_EIS_011/EIS-0008-S.pdf
EIS-0010,"Strategic Petroleum Reserves, Sulphur Mines Salt Dome, Calcasieu Parish, Louisiana",DOE,FE,1978,Petroleum Reserves,Completed,EIS-0010: Final Environmental Impact Statement,EIS,DOE_EIS_012/EIS-0010-FEIS-1978.pdf
EIS-0011,"New Melones 230-kV Electrical Transmission Line, Central Valley Project, California",DOE,WAPA,1978,Electric Transmission,Completed,EIS-0011: Final Environmental Impact Statement,EIS,DOE_EIS_013/EIS-0011-FEIS-1978.pdf
EIS-0012,"Petroleum Production at Maximum Efficient Rate, Naval Petroleum Reserve #1, Elk Hills, Kern County, California (also see EA-0261, EA-0334, and EIS-0158-S)",DOE,FE,1979,Petroleum Reserves,Completed,EIS-0012: Final Environmental Impact Statement,EIS,DOE_EIS_014/EIS-0012-FEIS-1979.pdf
EIS-0014,"Mound Facility, Miamisburg, Ohio",DOE,NNSA,1979,DOE Site Operations,Completed,EIS-0014: Final Environmental Impact Statement,EIS,DOE_EIS_015/EIS-0014-FEIS-1979.pdf
EIS-0014,"Mound Facility, Miamisburg, Ohio",DOE,NNSA,1979,DOE Site Operations,Completed,Learn More,EIS,DOE_EIS_015/EIS-0014-FEIS-1979.pdf
EIS-0015,U.S. Spent Fuel Policy,DOE,NE,1980,Spent Nuclear Fuel,Completed,"EIS-0015: Final Environmental Impact Statement, volume 1",EIS,DOE_EIS_016/EIS-0015-FEIS-volume1_1.pdf
EIS-0015,U.S. Spent Fuel Policy,DOE,NE,1980,Spent Nuclear Fuel,Completed,"EIS-0015: Final Environmental Impact Statement, volume 2",EIS,DOE_EIS_016/EIS-0015-FEIS-volume2_1.pdf
EIS-0015,U.S. Spent Fuel Policy,DOE,NE,1980,Spent Nuclear Fuel,Completed,"EIS-0015: Final Environmental Impact Statement, volume 3",EIS,DOE_EIS_016/EIS-0015-FEIS-volume3.pdf
EIS-0015,U.S. Spent Fuel Policy,DOE,NE,1980,Spent Nuclear Fuel,Completed,"EIS-0015: Final Environmental Impact Statement, volume 4",EIS,DOE_EIS_016/EIS-0015-FEIS-volume4.pdf
